catalogItemId,brand,rawTitle,extracted_texture,extracted_finish,extracted_colorFamily,extracted_undertone,priceKrw,purchaseUrl,verdict,correctedField,correctedValue,checkedBy
auradin-seed-97f8794fc1ba8418,페리페라,[페리페라] 후 공진향 미 벨벳 파운데이션 팩트,powder,velvet,,,28400,http://gate.halfclub.com/naver?site_cd=1&type=detail_pcode&p1=P364714990&partnerid=naverdb,drop,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-f56d3a114f34ff01,웨이크메이크,웨이크메이크 심리스 웨어 파운데이션 30ml,,,,,25650,https://www.lotteon.com/p/product/LO2592310971?sitmNo=LO2592310971_2592310972&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-b24cffce42aedb12,데이지크,[윤광베이스] 데이지크 글로이 쉘 베이스 50ml (머메이드),,glossy,,,14900,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000228843,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-9b42759291873ca2,클리오,[방송에서만] 클리오 올뉴마그넷팩트 방송특집 (썸머에디션),powder,,,,89900,http://www.kshop.co.kr/display/ec/product/8738225?with_code=100025&utm_source=naver_ep&utm_medium=cps&utm_campaign=prd_01_%ED%99%94%EC%9E%A5%ED%92%88%2F%EC%9D%B4%EB%AF%B8%EC%9A%A9_8738225&utm_content=pc,drop,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-f926534434452d34,정샘물 뷰티,[정샘물뷰티] 정샘물 스킨 세팅 베이스 6종 (메탈세럼글로스미니 로즈도즈),gloss,,rose,,28050,https://m.a-bly.com/goods/2414392?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2414392&coupon_sno=50645611,drop,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-2e24d515a2b71014,에뛰드,에뛰드 더블래스팅 비건 커버 파운데이션 (브러쉬 기획/단품),,,,,14500,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000198430,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-0ae4a2fd811c7d9e,더샘,더샘 샘물 에어리 코튼 메이크업 베이스 01 그린,,,,,6830,https://www.lotteon.com/p/product/LO2598184432?sitmNo=LO2598184432_2598184433&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-02e775e5531a4cb6,VDL,[레몬패키지] VDL 커버 스테인 퍼펙팅 쿠션 기획 (본품+리필),cushion,,,,28800,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000185903,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-8771703ba83afe30,뮤드,뮤드 소프트 실키 핏 쿠션,cushion,,,,28000,https://www.hemekolab.com/store/products/5916?hmkcid=naver_shopping__bid_17__pid_5916&utm_source=naver&utm_medium=shopping&utm_campaign=sb_mude,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-35d6b9ae52a10852,3CE,쓰리씨이 [3CE]메이크업 픽스 파우더 (증)미니틴트(랜덤),tint,,,,21000,https://www.lotteimall.com/coop/affilGate.lotte?chl_no=141370&chl_dtl_no=2540914&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=2300748333&utm_source=naver&utm_medium=affiliate&utm_campaign=price_compare,drop,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-c8609c5ff4db52ab,네이밍,[미니파데/여행템] 네이밍 레이어드 커버 파운데이션 15ml,,,,,13500,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000186483,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
auradin-seed-2f0ed189d7ed8f5e,에스쁘아,[에스쁘아] 비벨벳 커버 쿠션(본품+리필),cushion,velvet,,,29200,https://m.a-bly.com/goods/10465451?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=10465451&coupon_sno=50635565,pass,,,wiseungcheol 위임→claude(에스컬레이션: naver api+외부검색)
