catalogItemId,brand,category,field,extractedValue,confidence,evidenceSpan,verdict,checkedBy,note
auradin-seed-4d27f592ca9626e7,3CE,lip,texture,tint,0.9,틴트,,,
auradin-seed-25684b3d07ef7d8a,3CE,shadow,texture,stick,0.9,스틱,,,
auradin-seed-a2549f1ab67a54bd,3CE,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-7d06fe7cc9654a75,3CE,shadow,texture,powder,0.8,아이섀도우,,,
auradin-seed-b7d1e7d53350171c,3CE,shadow,texture,powder,0.8,아이섀도우,,,
auradin-seed-8f92daa96e12a837,3CE,shadow,texture,stick,0.9,스틱,,,
auradin-seed-d9cf12b99beee2a2,3CE,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-5ba3cf646d7e64e1,3CE,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-fdcacbff631f0f77,3CE,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-6b00091a7b7b4461,VDL,brow,texture,pencil,0.9,브로우 펜슬,,,
auradin-seed-24a0dee0dcd32757,VDL,brow,texture,pencil,0.9,펜슬,,,
auradin-seed-d65f096b1715ef05,VDL,brow,colorFamily,brown,0.7,브로우,,,
auradin-seed-d65f096b1715ef05,VDL,brow,texture,pencil,0.9,펜슬,,,
auradin-seed-bf9669e0494bfbc8,VDL,cheek,texture,balm,0.9,블러셔 밤,,,
auradin-seed-512fbe48a7519525,VDL,cheek,texture,stick,0.8,스테인,,,
auradin-seed-6e3ddc0cf1054f7a,VDL,cheek,texture,palette,0.9,팔레트,,,
auradin-seed-b33c096db5d9a017,VDL,cheek,texture,palette,0.9,팔레트,,,
auradin-seed-707cc067a9d6ed7c,VDL,liner,texture,liner,0.8,아이파인,,,
auradin-seed-b02994940f211e7d,VDL,liner,colorFamily,nude,0.8,진저베이지,,,
auradin-seed-b02994940f211e7d,VDL,liner,texture,liner,0.9,라이너,,,
auradin-seed-b02994940f211e7d,VDL,liner,undertone,warm,0.7,진저베이지,,,
auradin-seed-97a138a7e6b2584e,VDL,liner,texture,liner,0.9,라이너,,,
auradin-seed-333f488fd514a045,VDL,liner,colorFamily,nude,0.7,피오니베이지,,,
auradin-seed-333f488fd514a045,VDL,liner,texture,liner,0.9,라이너,,,
auradin-seed-edb10013c3035791,VDL,lip,colorFamily,brown,0.8,더티비엔나,,,
auradin-seed-edb10013c3035791,VDL,lip,texture,tint,0.9,립스테인,,,
auradin-seed-edb10013c3035791,VDL,lip,undertone,warm,0.7,더티비엔나,,,
auradin-seed-b3c823d4a2a9486d,VDL,lip,finish,glossy,0.8,글로우,,,
auradin-seed-b3c823d4a2a9486d,VDL,lip,texture,tint,0.9,틴트,,,
auradin-seed-65ba97d30071751d,VDL,lip,finish,glossy,0.9,광택,,,
auradin-seed-65ba97d30071751d,VDL,lip,texture,tint,0.9,틴트,,,
auradin-seed-ae20a22ccd9bebf8,VDL,lip,colorFamily,brown,0.8,카페 로마노,,,
auradin-seed-ae20a22ccd9bebf8,VDL,lip,texture,lipstick,0.9,립스틱,,,
auradin-seed-a3714aeca1914f28,VDL,lip,texture,liner,0.9,라이너,,,
auradin-seed-95c5c1f99cfb6e36,VDL,shadow,texture,palette,1.0,팔레트,,,
auradin-seed-36eb3038b5c81920,VDL,shadow,finish,shimmer,0.8,샤인,,,
auradin-seed-36eb3038b5c81920,VDL,shadow,texture,palette,1.0,팔레트,,,
auradin-seed-e6c8584759cea5c2,VDL,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-ba8700b9536cbd25,네이밍,brow,texture,pencil,0.9,아이브로우 펜슬,,,
auradin-seed-70964540736db2b6,네이밍,brow,texture,pencil,0.9,펜슬,,,
auradin-seed-a618c99a664aa8b0,네이밍,cheek,texture,powder,0.9,파우더,,,
auradin-seed-88f1c84f9162dfde,네이밍,cheek,texture,powder,0.9,파우더,,,
auradin-seed-679a9b2058cbf5f4,네이밍,cheek,texture,powder,0.9,파우더,,,
auradin-seed-0ae16fd421b15403,네이밍,cheek,texture,powder,0.9,파우더,,,
auradin-seed-0ae16fd421b15403,네이밍,cheek,undertone,warm,0.9,웜,,,
auradin-seed-090bbbe7ecb099d8,네이밍,cheek,texture,powder,0.9,파우더,,,
auradin-seed-090bbbe7ecb099d8,네이밍,cheek,undertone,warm,0.9,웜,,,
auradin-seed-6a11c686c3bb1287,네이밍,cheek,finish,matte,0.7,보송,,,
auradin-seed-6a11c686c3bb1287,네이밍,cheek,texture,powder,0.9,파우더,,,
auradin-seed-e0e47fa1341fcadf,네이밍,cheek,texture,powder,0.9,파우더,,,
auradin-seed-ce4ec96600d7c572,네이밍,cheek,texture,powder,0.9,파우더,,,
auradin-seed-ce4ec96600d7c572,네이밍,cheek,undertone,warm,0.9,웜,,,
auradin-seed-860cb423037e0098,네이밍,cheek,texture,powder,0.9,파우더,,,
auradin-seed-860cb423037e0098,네이밍,cheek,undertone,warm,0.9,웜,,,
auradin-seed-465343e6376506a7,네이밍,liner,texture,liner,0.9,라이너,,,
auradin-seed-0d11c231d628f7f1,네이밍,liner,texture,liner,0.9,라이너,,,
auradin-seed-0dcbc4d93b4cbd9a,네이밍,liner,texture,liner,0.9,라이너,,,
auradin-seed-a429260e7f67a040,네이밍,liner,texture,liner,0.9,라이너,,,
auradin-seed-c8b03394783c8bb8,네이밍,liner,texture,liner,0.9,라이너,,,
auradin-seed-c2203b94b747fbd3,네이밍,liner,texture,liner,0.9,라이너,,,
auradin-seed-bc32d6a661de75a6,네이밍,liner,texture,liner,0.9,라이너,,,
auradin-seed-bfcbfacf3e059d5a,네이밍,lip,finish,glossy,0.8,글레이즈,,,
auradin-seed-bfcbfacf3e059d5a,네이밍,lip,texture,gloss,0.8,글레이즈,,,
auradin-seed-41febfc00886dfa2,네이밍,lip,finish,glossy,0.9,글로시,,,
auradin-seed-41febfc00886dfa2,네이밍,lip,texture,tint,0.9,립 틴트,,,
auradin-seed-b6f5e72f08e522f3,네이밍,lip,texture,tint,0.9,립 틴트,,,
auradin-seed-29c9eec11aaa3a9d,네이밍,lip,texture,tint,0.9,립 틴트,,,
auradin-seed-7238d139b7124c90,네이밍,lip,texture,tint,0.9,립 틴트,,,
auradin-seed-ff7970626a922b29,네이밍,lip,texture,tint,0.9,립 틴트,,,
auradin-seed-d38660fac004c700,네이밍,lip,finish,glossy,0.9,글로시,,,
auradin-seed-d38660fac004c700,네이밍,lip,texture,tint,0.9,립 틴트,,,
auradin-seed-1671adebdfcea13a,네이밍,shadow,texture,pencil,0.9,펜슬,,,
auradin-seed-3ce2fabd18a6ed80,네이밍,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-1b6d0f07f317f039,네이밍,shadow,texture,powder,0.9,파우더,,,
auradin-seed-1b6d0f07f317f039,네이밍,shadow,undertone,warm,0.8,웜톤,,,
auradin-seed-f75f02cc94dbdb36,네이밍,shadow,texture,powder,0.8,섀도우,,,
auradin-seed-274a7f37c44b6e2b,네이밍,shadow,texture,powder,0.9,파우더,,,
auradin-seed-274a7f37c44b6e2b,네이밍,shadow,undertone,warm,0.8,웜톤,,,
auradin-seed-ce16fe7ef9142aa1,네이밍,shadow,colorFamily,nude,0.8,베이지,,,
auradin-seed-ce16fe7ef9142aa1,네이밍,shadow,texture,pencil,0.9,펜슬,,,
auradin-seed-93fb69e4b4d2eab3,더샘,brow,texture,pencil,0.8,우드 아이브로우,,,
auradin-seed-8c3cf9d10b04ea0f,더샘,cheek,texture,liquid,0.8,젤리,,,
auradin-seed-9ec1164faceb7910,더샘,cheek,texture,cream,0.8,젤리,,,
auradin-seed-ebfedf32a24205f2,더샘,cheek,texture,stick,0.9,스틱블러셔,,,
auradin-seed-8e751decfed67c85,더샘,cheek,texture,powder,0.8,블러셔,,,
auradin-seed-8e751decfed67c85,더샘,cheek,undertone,warm,0.7,골드,,,
auradin-seed-90f240a70bcc9540,더샘,cheek,texture,liquid,0.8,젤리,,,
auradin-seed-4243297050c9387d,더샘,cheek,texture,liquid,0.8,젤리,,,
auradin-seed-a842f316cf95a5be,더샘,liner,colorFamily,black,0.7,아이라이너,,,
auradin-seed-a842f316cf95a5be,더샘,liner,texture,liner,1.0,아이라이너,,,
auradin-seed-08a4309af0b7eaaa,더샘,lip,finish,velvet,0.9,벨벳,,,
auradin-seed-08a4309af0b7eaaa,더샘,lip,texture,tint,0.9,틴트,,,
auradin-seed-006d4fbc8413c7e0,더샘,lip,texture,tint,0.9,틴트,,,
auradin-seed-af8bd04163585072,더샘,lip,colorFamily,coral,0.8,CR01,,,
auradin-seed-af8bd04163585072,더샘,lip,texture,tint,0.9,틴트,,,
auradin-seed-96b32c1d6848d6e4,더샘,lip,texture,tint,0.9,틴트,,,
auradin-seed-40dfb89408358cb6,더샘,lip,finish,glossy,0.7,젤리,,,
auradin-seed-40dfb89408358cb6,더샘,lip,texture,tint,0.9,틴트,,,
auradin-seed-190efc4045d3fd09,더샘,shadow,texture,powder,0.8,섀도우,,,
auradin-seed-a89182b286679f23,더샘,shadow,texture,stick,0.7,메이커,,,
auradin-seed-839bab3d05aa6a63,더샘,shadow,finish,matte,0.9,매트,,,
auradin-seed-839bab3d05aa6a63,더샘,shadow,texture,powder,0.8,섀도우,,,
auradin-seed-28414dacabbad964,더샘,shadow,finish,shimmer,0.9,쉬머,,,
auradin-seed-28414dacabbad964,더샘,shadow,texture,powder,0.7,섀도우,,,
auradin-seed-22c78fdf656d3cd0,더샘,shadow,texture,powder,0.8,아이섀도우,,,
auradin-seed-bb36e06cb523869c,데이지크,brow,texture,mascara,0.9,브로우 카라,,,
auradin-seed-52aaf03b730eca41,데이지크,brow,texture,pencil,0.9,브로우 펜슬,,,
auradin-seed-35db06467451e09d,데이지크,brow,texture,pencil,0.9,브로우 펜슬,,,
auradin-seed-fc55a974573218ac,데이지크,brow,texture,mascara,0.9,브로우 카라,,,
auradin-seed-7e0cb7a3fa67374c,데이지크,cheek,colorFamily,nude,0.8,아몬드바닐라,,,
auradin-seed-7e0cb7a3fa67374c,데이지크,cheek,texture,powder,0.7,치크,,,
auradin-seed-7e0cb7a3fa67374c,데이지크,cheek,undertone,warm,0.7,아몬드바닐라,,,
auradin-seed-b12cec4606b1cffb,데이지크,cheek,colorFamily,pink,0.7,러브 하트,,,
auradin-seed-b12cec4606b1cffb,데이지크,cheek,texture,palette,0.9,팔레트,,,
auradin-seed-4b964ea075444191,데이지크,cheek,texture,palette,0.9,팔레트,,,
auradin-seed-9edeb752a64e1825,데이지크,liner,colorFamily,black,0.9,블랙,,,
auradin-seed-9edeb752a64e1825,데이지크,liner,texture,mascara,0.9,마스카라,,,
auradin-seed-a630ef229738dd83,데이지크,liner,texture,liner,0.9,아이라이너,,,
auradin-seed-a630ef229738dd83,데이지크,liner,undertone,cool,0.8,쿨,,,
auradin-seed-91a644b126a47432,데이지크,liner,colorFamily,black,0.9,퍼펙트 블랙,,,
auradin-seed-91a644b126a47432,데이지크,liner,texture,liquid,0.9,리퀴드 아이라이너,,,
auradin-seed-4628814c4715c20f,데이지크,liner,texture,mascara,0.9,마스카라,,,
auradin-seed-4407cd7e0ad4909a,데이지크,liner,texture,mascara,0.9,마스카라,,,
auradin-seed-7d50b6d9e4920944,데이지크,lip,texture,tint,0.9,틴트,,,
auradin-seed-392a7ad5bbfab1d9,데이지크,lip,finish,glossy,0.8,글로우,,,
auradin-seed-392a7ad5bbfab1d9,데이지크,lip,texture,tint,0.9,틴트,,,
auradin-seed-eef83cfa426a592a,데이지크,lip,finish,glossy,0.8,글로우,,,
auradin-seed-eef83cfa426a592a,데이지크,lip,texture,gloss,0.7,글로우,,,
auradin-seed-2a44619571aa63e7,데이지크,lip,texture,stick,0.7,컬러 팟,,,
auradin-seed-0cc54865be8e3557,데이지크,shadow,texture,powder,0.8,섀도우,,,
auradin-seed-37e41868faa2169b,데이지크,shadow,colorFamily,pink,0.7,러브하트,,,
auradin-seed-37e41868faa2169b,데이지크,shadow,texture,palette,0.9,섀도우 팔레트,,,
auradin-seed-aef961bebe5f196f,데이지크,shadow,texture,palette,0.9,섀도우 팔레트,,,
auradin-seed-aef961bebe5f196f,데이지크,shadow,undertone,warm,0.8,웜블랜딩,,,
auradin-seed-89f648085c145d4f,데이지크,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-a66debfd4ce25a9d,데이지크,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-2b59ff08bddd2cb1,라카,brow,texture,mascara,0.9,마스카라,,,
auradin-seed-e02289f5816c776e,라카,brow,texture,mascara,0.8,브로우 카라,,,
auradin-seed-78252aa83031a19a,라카,brow,texture,mascara,0.8,카라,,,
auradin-seed-ab749e8fdcccd290,라카,cheek,finish,glossy,0.8,글로이,,,
auradin-seed-6a19b9e06fd0acf5,라카,cheek,undertone,warm,0.8,웜톤,,,
auradin-seed-d66f53d73e4de527,라카,cheek,finish,glossy,0.8,광택,,,
auradin-seed-d66f53d73e4de527,라카,cheek,texture,powder,0.7,블러셔,,,
auradin-seed-3e5c2519dae09cff,라카,cheek,finish,glossy,0.8,광택,,,
auradin-seed-2f45c19aa13313fb,라카,cheek,finish,glossy,0.8,광택,,,
auradin-seed-9388e821c04e3239,라카,liner,texture,liner,0.9,라이너,,,
auradin-seed-182f1d8cb720406f,라카,liner,texture,liner,0.9,립 라이너,,,
auradin-seed-847b305f5e0e8668,라카,liner,texture,liner,0.9,립 라이너,,,
auradin-seed-067b67da9183f955,라카,liner,finish,velvet,0.9,벨벳,,,
auradin-seed-067b67da9183f955,라카,liner,texture,liner,0.9,립 라이너,,,
auradin-seed-ab952f6d3976fb60,라카,liner,colorFamily,nude,0.8,베어메모리,,,
auradin-seed-ab952f6d3976fb60,라카,liner,texture,liner,0.9,립 라이너,,,
auradin-seed-d8d8dd616ed932f3,라카,lip,texture,lipstick,0.7,립,,,
auradin-seed-2732b015c109ef43,라카,lip,texture,tint,0.9,틴트,,,
auradin-seed-ecbd81e7bba3cc1b,라카,lip,texture,tint,0.9,틴트,,,
auradin-seed-70b25b3d1039aabf,라카,lip,texture,tint,0.9,틴트,,,
auradin-seed-35845cb3e83f634a,라카,lip,texture,lipstick,0.8,립,,,
auradin-seed-23480023cad65901,라카,lip,finish,glossy,0.7,밀착광,,,
auradin-seed-23480023cad65901,라카,lip,texture,lipstick,0.8,립,,,
auradin-seed-14e4e816337cfd55,라카,lip,texture,tint,0.9,립 틴트,,,
auradin-seed-ef3c3f58313bb4c5,라카,shadow,texture,powder,0.8,아이섀도우,,,
auradin-seed-ba8acbbefadb8390,라카,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-ee331cad85b5b55d,라카,shadow,texture,powder,0.8,아이섀도우,,,
auradin-seed-9e8fa574c01a6887,라카,shadow,texture,powder,0.8,아이섀도우,,,
auradin-seed-43729c3c26d07b88,롬앤,brow,texture,pencil,0.8,브로우,,,
auradin-seed-7c99be49b86aaafa,롬앤,brow,texture,mascara,0.9,카라,,,
auradin-seed-f78b964e445c4332,롬앤,brow,texture,pencil,0.8,샤프,,,
auradin-seed-2f56b0f022c0db18,롬앤,brow,texture,mascara,0.8,픽서,,,
auradin-seed-4e4bd7a67828001e,롬앤,brow,texture,mascara,0.8,카라,,,
auradin-seed-70f04f52cda0f9ff,롬앤,brow,texture,pencil,0.8,브로우,,,
auradin-seed-8b29b348facacb0d,롬앤,brow,texture,pencil,0.8,브로우,,,
auradin-seed-d217bb8925c1a4e1,롬앤,cheek,texture,liquid,0.7,쥬시,,,
auradin-seed-b06e60afb275e351,롬앤,cheek,finish,sheer,0.8,SH,,,
auradin-seed-ebf171f6711f0931,롬앤,cheek,finish,sheer,0.8,시스루,,,
auradin-seed-ebf171f6711f0931,롬앤,cheek,texture,powder,0.7,라이터,,,
auradin-seed-4a8ba1b7a866ed05,롬앤,cheek,finish,sheer,0.8,수채화,,,
auradin-seed-4a8ba1b7a866ed05,롬앤,cheek,texture,powder,0.7,블러셔,,,
auradin-seed-4377f2d9be22d0f5,롬앤,liner,texture,liner,0.9,라이너,,,
auradin-seed-0c6ba31900b4626b,롬앤,liner,finish,glossy,0.7,글리터,,,
auradin-seed-0c6ba31900b4626b,롬앤,liner,texture,liquid,0.9,리퀴드,,,
auradin-seed-cd74ee5c27ab209e,롬앤,lip,finish,matte,0.9,매트,,,
auradin-seed-cd74ee5c27ab209e,롬앤,lip,texture,lipstick,0.8,립,,,
auradin-seed-f1ffadab5c475979,롬앤,lip,texture,tint,0.9,틴트,,,
auradin-seed-b42e1671e5e51e9b,롬앤,lip,texture,tint,0.9,틴트,,,
auradin-seed-cc6c665f38bdaa39,롬앤,lip,texture,tint,0.9,틴트,,,
auradin-seed-2cd0f2698be9567d,롬앤,lip,finish,sheer,0.8,물 틴트,,,
auradin-seed-2cd0f2698be9567d,롬앤,lip,texture,tint,0.9,틴트,,,
auradin-seed-e62b3afd96833666,롬앤,lip,finish,velvet,0.9,벨벳,,,
auradin-seed-e62b3afd96833666,롬앤,lip,texture,tint,0.9,틴트,,,
auradin-seed-3ab52473be1df3f8,롬앤,lip,finish,velvet,0.7,블러,,,
auradin-seed-3ab52473be1df3f8,롬앤,lip,texture,tint,0.9,틴트,,,
auradin-seed-444d28bd9e6d7c14,롬앤,shadow,texture,stick,0.8,슬라이드 인 싱글,,,
auradin-seed-1111ccd0af6f1dc6,롬앤,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-ec030317dfef2d68,롬앤,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-1f4d59ada14e3e68,롬앤,shadow,texture,palette,0.7,아이즈,,,
auradin-seed-19bedfbb5316407b,뮤드,brow,colorFamily,brown,0.7,코튼,,,
auradin-seed-19bedfbb5316407b,뮤드,brow,texture,mascara,0.9,브로우 카라,,,
auradin-seed-c24db407c6b6a151,뮤드,brow,texture,mascara,0.8,브로우 카라,,,
auradin-seed-da52233e753e7782,뮤드,brow,texture,mascara,0.8,브로우 카라,,,
auradin-seed-0346798fbb35640b,뮤드,brow,texture,mascara,0.8,브로우 카라,,,
auradin-seed-3be4acd2449c3dea,뮤드,brow,colorFamily,brown,0.8,B05호,,,
auradin-seed-3be4acd2449c3dea,뮤드,brow,texture,mascara,0.9,브로우 카라,,,
auradin-seed-3be4acd2449c3dea,뮤드,brow,undertone,warm,0.7,허니 듀,,,
auradin-seed-0ed3f7701295dd20,뮤드,liner,colorFamily,brown,0.7,브로우,,,
auradin-seed-0ed3f7701295dd20,뮤드,liner,texture,liner,0.8,스키니,,,
auradin-seed-e27f51783911a26a,뮤드,liner,texture,liner,0.8,아이래쉬,,,
auradin-seed-26401a1a083f5f04,뮤드,liner,texture,tint,0.9,틴팅,,,
auradin-seed-3733b8930439d220,뮤드,lip,texture,tint,0.9,틴트,,,
auradin-seed-553749554b0b9ded,뮤드,lip,texture,tint,0.9,립 틴트,,,
auradin-seed-cd36c6d62159db82,뮤드,lip,colorFamily,nude,0.7,러스티 슈가,,,
auradin-seed-cd36c6d62159db82,뮤드,lip,finish,matte,0.9,매트,,,
auradin-seed-cd36c6d62159db82,뮤드,lip,texture,tint,0.9,립 틴트,,,
auradin-seed-132fbaed266ac253,뮤드,lip,colorFamily,pink,0.7,썸머 피크닉,,,
auradin-seed-132fbaed266ac253,뮤드,lip,finish,glossy,0.8,글라세,,,
auradin-seed-132fbaed266ac253,뮤드,lip,texture,tint,1.0,틴트,,,
auradin-seed-d5fd4efcaeec5e87,뮤드,lip,finish,glossy,0.8,글레이즈,,,
auradin-seed-d5fd4efcaeec5e87,뮤드,lip,texture,gloss,0.8,글레이즈,,,
auradin-seed-01d951fb351f2eab,뮤드,shadow,colorFamily,nude,0.7,뮤드,,,
auradin-seed-01d951fb351f2eab,뮤드,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-89d3af879800b6f9,뮤드,shadow,colorFamily,nude,0.7,뮤드,,,
auradin-seed-89d3af879800b6f9,뮤드,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-4fc9c31670e75bd3,뮤드,shadow,colorFamily,nude,0.8,뮤드,,,
auradin-seed-4fc9c31670e75bd3,뮤드,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-832542bfdc87bf50,뮤드,shadow,finish,sheer,0.7,숄,,,
auradin-seed-832542bfdc87bf50,뮤드,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-c3990982099616cf,뮤드,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-ff12597f16037365,뮤드,shadow,colorFamily,mauve,0.7,뮤드,,,
auradin-seed-ff12597f16037365,뮤드,shadow,texture,palette,0.9,팔레트,,,
auradin-seed-59978fde52dfcce3,에뛰드,brow,texture,pencil,0.9,아이브로우 펜슬,,,
auradin-seed-6bb9e6fd50243ee6,에뛰드,brow,texture,mascara,0.9,마스카라,,,
auradin-seed-a5c0fbc1dfeb7071,에뛰드,brow,texture,pencil,0.9,펜슬,,,
auradin-seed-c9e719847852d9f7,에뛰드,brow,texture,pencil,0.8,아이브로우,,,
auradin-seed-bbd0869c52d97897,에뛰드,cheek,texture,powder,0.8,블러셔,,,
auradin-seed-89c563d21da4adb6,에뛰드,cheek,texture,powder,0.8,쿠키,,,
auradin-seed-5adf01a58db02cb4,에뛰드,cheek,texture,cream,0.9,크림 치크,,,
auradin-seed-862ffd425659c1b7,에뛰드,cheek,texture,powder,0.8,블러셔,,,
auradin-seed-0e4bb5d17ff79c25,에뛰드,cheek,texture,powder,0.8,블러셔,,,
auradin-seed-079c8d355c85ecd4,에뛰드,liner,texture,pencil,0.9,펜슬,,,
auradin-seed-43b747eaf02c0d9a,에뛰드,liner,texture,liner,0.9,라이너,,,
auradin-seed-c6e74e7155dbee61,에뛰드,liner,texture,liner,0.9,라이너,,,
auradin-seed-27f8b8b1ee1b802a,에뛰드,liner,colorFamily,brown,0.7,주근깨,,,
auradin-seed-27f8b8b1ee1b802a,에뛰드,liner,texture,liner,0.9,라이너,,,
auradin-seed-cd3e43dfaed35971,에뛰드,liner,colorFamily,black,0.9,블랙,,,
auradin-seed-cd3e43dfaed35971,에뛰드,liner,texture,pencil,0.9,펜슬,,,
auradin-seed-b098440a8ff836dd,에뛰드,lip,texture,tint,0.9,틴트,,,
auradin-seed-7d3c5d526d594cfe,에뛰드,lip,texture,tint,0.9,틴트,,,
auradin-seed-6a90ea1179e234ab,에뛰드,lip,finish,sheer,0.7,워터 틴트,,,
auradin-seed-6a90ea1179e234ab,에뛰드,lip,texture,tint,0.9,틴트,,,
auradin-seed-b46fb8f42b0c2a83,에뛰드,lip,finish,sheer,0.7,워터,,,
auradin-seed-b46fb8f42b0c2a83,에뛰드,lip,texture,tint,0.9,틴트,,,
auradin-seed-b0cd997df725efc8,에뛰드,lip,texture,tint,0.9,틴트,,,
auradin-seed-264927c906251c32,에뛰드,lip,texture,tint,0.9,틴트,,,
auradin-seed-c8705b443a2c09b8,에뛰드,shadow,texture,palette,0.8,4 Colors,,,
auradin-seed-4cfe6764194c9b4f,에뛰드,shadow,texture,palette,0.8,플레이 컬러 아이즈,,,
auradin-seed-f342c50bf2a73469,에뛰드,shadow,colorFamily,brown,0.7,쉐딩,,,
auradin-seed-f342c50bf2a73469,에뛰드,shadow,texture,stick,0.9,스틱,,,
auradin-seed-3c4cf4a69c6ec1c2,에뛰드,shadow,texture,powder,0.7,아이메이커,,,
auradin-seed-2016d17d340f944f,에뛰드,shadow,colorFamily,brown,0.7,쉐딩,,,
auradin-seed-2016d17d340f944f,에뛰드,shadow,texture,stick,0.9,쉐딩스틱,,,
auradin-seed-aaf02690686904e5,에뛰드,shadow,finish,shimmer,0.8,블링블링,,,
auradin-seed-aaf02690686904e5,에뛰드,shadow,texture,stick,0.9,아이스틱,,,
auradin-seed-ea2379a34b536115,에뛰드,shadow,texture,powder,0.7,아이즈,,,
auradin-seed-35a4f7c392b49594,에뛰드,shadow,finish,shimmer,0.9,글리터,,,
auradin-seed-35a4f7c392b49594,에뛰드,shadow,texture,powder,0.8,섀도우,,,
auradin-seed-66428e80c1167078,에스쁘아,brow,texture,pencil,0.9,펜슬,,,
auradin-seed-3bafd129e3f7c462,에스쁘아,brow,texture,mascara,0.8,카라,,,
auradin-seed-501756754e0d90dc,에스쁘아,brow,texture,pencil,0.9,펜슬,,,
auradin-seed-bdfb516abd0643d7,에스쁘아,cheek,colorFamily,plum,0.8,비올레타,,,
auradin-seed-bdfb516abd0643d7,에스쁘아,cheek,texture,powder,0.7,블러셔,,,
auradin-seed-47ed9745014fb88d,에스쁘아,cheek,texture,liquid,0.9,리퀴드,,,
auradin-seed-d201ff9382bec568,에스쁘아,cheek,texture,powder,0.8,블러셔,,,
auradin-seed-f6796ca1bdd14512,에스쁘아,liner,colorFamily,nude,0.8,오트 베이지,,,
auradin-seed-f6796ca1bdd14512,에스쁘아,liner,texture,pencil,0.9,펜슬,,,
auradin-seed-f6796ca1bdd14512,에스쁘아,liner,undertone,warm,0.7,오트 베이지,,,
auradin-seed-150cd91511371a50,에스쁘아,liner,texture,liner,0.9,라이너,,,
auradin-seed-59510c28c743116a,에스쁘아,liner,texture,pencil,0.9,펜슬,,,
auradin-seed-a5a39725fae442a7,에스쁘아,lip,texture,tint,0.9,립틴트,,,
auradin-seed-5df1692a8e4ece4a,에스쁘아,lip,finish,velvet,0.9,블러벨벳,,,
auradin-seed-5df1692a8e4ece4a,에스쁘아,lip,texture,tint,0.9,립틴트,,,
auradin-seed-e896f6317ac94c3e,에스쁘아,lip,finish,glossy,0.8,글레이즈,,,
auradin-seed-e896f6317ac94c3e,에스쁘아,lip,texture,gloss,0.8,글레이즈,,,
